Family	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Tubulicrinaceae	0	0	0	0.00655	0.00655	0	0	0.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ascodesmidaceae	0.0819	0.00655	0.0131	0.00655	0.00982	0.00327	0	0.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393	0.0262	0	0	0.0262	0	0.00982	0	0.00327	0.0327	0	0	0	0	0	0	0	0	0	0	0	0.1
Bulleraceae	0	0.0262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196	0	0	0	0	0	0	0	0	0	0	0.00327	0.0131	0	0	0	0	0.1
Camarosporidiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0295	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Trechisporales_fam_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Bionectriaceae	0.0819	0.0131	0	0.00655	0	0.00327	0	0.00982	0.0327	0	0	0	0	0	0	0	0	0.0524	0	0	0	0	0.00655	0	0	0	0.00327	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.1
Phlyctidaceae	0.00327	0.00655	0	0.00327	0	0	0.00655	0	0	0.00327	0	0	0	0.00655	0	0	0	0	0	0	0.00327	0.00655	0.00327	0	0	0	0.00655	0.00327	0.00327	0	0	0	0	0.00982	0	0	0	0	0	0	0	0	0	0.1
Phallaceae	0	0	0	0.00655	0	0.151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Meruliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0557	0	0	0	0	0	0	0	0	0.00327	0.1
Microascales_fam_Incertae_sedis	0.0229	0	0	0.00982	0.0262	0	0	0.00982	0.0426	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0.00655	0.0229	0.00327	0	0.0196	0.0426	0	0	0	0	0	0	0	0	0	0	0	0.1
Neopyrenochaetaceae	0.0164	0	0	0	0	0.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ophiocordycipitaceae	0.0196	0.0164	0	0.00327	0	0	0.00327	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131	0.00327	0.00327	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.1
Peniophoraceae	0	0	0	0	0	0.0196	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Neoschizotheciaceae	0	0	0	0	0	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
