Id,Label,timeset,G
ASV83,ASV83,,Nocardioides
ASV443,ASV443,,Unassigned
ASV131,ASV131,,Devosia
ASV133,ASV133,,Pantoea
ASV1437,ASV1437,,Nocardioides
ASV240,ASV240,,Microvirga
ASV4396,ASV4396,,Unassigned
ASV84,ASV84,,Stenotrophomonas
ASV88,ASV88,,Massilia
ASV69,ASV69,,Pseudomonas
ASV1346,ASV1346,,Flavobacterium
ASV181,ASV181,,Pseudomonas
ASV5488,ASV5488,,Unassigned
ASV550,ASV550,,Nocardioides
ASV1350,ASV1350,,Marmoricola
ASV1450,ASV1450,,Unassigned
ASV544,ASV544,,Flavobacterium
ASV676,ASV676,,Arcticibacter
ASV1353,ASV1353,,Lysinimonas
ASV603,ASV603,,Sphingomonas
ASV136,ASV136,,Arthrobacter
ASV1363,ASV1363,,Sphingobacterium
ASV375,ASV375,,Altererythrobacter
ASV797,ASV797,,Bacillus
ASV1364,ASV1364,,Arcticibacter
ASV138,ASV138,,Nocardioides
ASV306,ASV306,,Microbacterium
ASV560,ASV560,,Pedobacter
ASV672,ASV672,,Unassigned
ASV8,ASV8,,Luteolibacter
ASV540,ASV540,,Flavobacterium
ASV699,ASV699,,Candidatus_Methylacidiphilum
ASV825,ASV825,,Pontibacter
ASV1395,ASV1395,,Flavobacterium
ASV653,ASV653,,Unassigned
ASV719,ASV719,,Pseudomonas
ASV909,ASV909,,Curvibacter
ASV1408,ASV1408,,Unassigned
ASV1417,ASV1417,,Unassigned
ASV245,ASV245,,Sphingobacterium
ASV897,ASV897,,Adhaeribacter
ASV748,ASV748,,Nocardioides
ASV755,ASV755,,Aeromicrobium
ASV81,ASV81,,Domibacillus
ASV918,ASV918,,Pontibacter
ASV143,ASV143,,Microvirga
ASV176,ASV176,,Nocardioides
ASV3485,ASV3485,,Unassigned
ASV474,ASV474,,Aeromicrobium
ASV1430,ASV1430,,Cellvibrio
ASV1432,ASV1432,,Unassigned
ASV407,ASV407,,Cellulomonas
ASV1435,ASV1435,,Rhizobium
ASV563,ASV563,,Arthrobacter
ASV705,ASV705,,Unassigned
ASV1446,ASV1446,,Cellulomonas
ASV1449,ASV1449,,Unassigned
ASV145,ASV145,,Nocardioides
ASV1466,ASV1466,,Unassigned
ASV190,ASV190,,Unassigned
ASV766,ASV766,,Arthrobacter
ASV298,ASV298,,Unassigned
ASV147,ASV147,,Unassigned
ASV1475,ASV1475,,Unassigned
ASV148,ASV148,,Flavisolibacter
ASV322,ASV322,,Pseudomonas
ASV924,ASV924,,Bacillus
ASV960,ASV960,,Unassigned
ASV1483,ASV1483,,Sanguibacter
ASV63,ASV63,,Exiguobacterium
ASV1493,ASV1493,,Bacillus
ASV160,ASV160,,Nocardioides
ASV920,ASV920,,Adhaeribacter
ASV1985,ASV1985,,Cellulomonas
ASV224,ASV224,,Cellulomonas
ASV2774,ASV2774,,Unassigned
ASV2915,ASV2915,,Unassigned
