Genus	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Acrocalymma	0	0	0	0	0	0.0688	0	0	0	0	0	0.036	0	0	0.0196	0	0	0	0	0	0	0.0426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.2
Kernia	0	0.00327	0	0.00655	0	0	0	0	0	0	0	0.00327	0	0.00655	0	0	0	0	0	0	0	0	0.0131	0	0	0	0.0196	0	0.00327	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.2
Curvularia	0.00327	0	0	0.0131	0	0.0884	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131	0.00327	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0.2
Agrocybe	0	0	0	0	0	0.0426	0	0.0164	0	0	0	0	0	0	0.0131	0	0	0.0557	0	0	0	0	0.0131	0	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0	0	0	0.2
Acrospeira	0.0229	0.334	0.0622	0.0164	0.134	0.229	0.0589	0.138	0.0295	0.0262	0	0.0164	0.118	0.00327	0.00982	0	0	0	0	0.0655	0	0	0.0393	0	0	0	0.436	0.18	0.072	0.223	0.036	0.0589	0.0393	0	0	0	0	0.00327	0.00327	0	0	0	0	0.2
Colletotrichum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pyxidiophora	0.0196	0.00982	0.0164	0.0196	0	0	0	0.00327	0	0	0	0	0.0131	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0.00327	0.0196	0	0	0	0	0	0	0	0	0	0	0	0.1
Schizophyllum	0	0	0.0393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0295	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Scedosporium	0	0	0	0	0	0	0	0	0	0.00655	0	0.00982	0	0	0.0229	0.0327	0	0	0	0	0	0	0	0	0	0	0	0	0.0327	0	0	0	0	0	0	0	0.00327	0	0.00327	0.0131	0	0	0	0.1
Saitozyma	0	0	0	0.0196	0	0	0	0	0	0	0	0.00327	0	0	0.0917	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Clitopilus	0	0	0	0	0	0.0229	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Saturnispora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0327	0	0	0.0295	0	0	0	0	0	0	0	0	0.0131	0	0	0	0	0.1
Camarosporidiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0295	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Valsa	0.0164	0.00655	0	0	0.00327	0	0	0	0	0	0	0	0.0131	0	0	0.0164	0	0	0	0	0	0	0	0	0.00982	0.0393	0.0295	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Tricharina	0.00655	0	0	0.0262	0.0327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0.0622	0.0196	0.00655	0.00327	0.0491	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Trametes	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Volvopluteus	0	0.00982	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Xenomyrothecium	0	0	0	0	0	0.0327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0	0	0	0	0	0.00982	0	0.0426	0	0	0	0	0	0	0	0	0	0	0.1
Westerdykella	0.00327	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0.0196	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Acrophialophora	0	0	0	0	0	0.00655	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Alfaria	0.0688	0.095	0.0819	0.39	0.219	0.0131	0.108	0.0589	0.0589	0.0131	0	0.115	0.141	0.0393	0.151	0	0.0131	0	0.0295	0	0.652	0.0295	0.147	0	0.0196	0	0.0982	0.0786	0.108	0.0589	0.0229	0.134	0	0	0.00327	0	0.00327	0.00982	0.00655	0	0	0	0	0.1
Bullera	0	0.0262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196	0	0	0	0	0	0	0	0	0	0	0.00327	0.0131	0	0	0	0	0.1
Butlerelfia	0	0	0	0.00655	0.00655	0	0	0.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Scytalidium	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0.0164	0	0	0	0.00655	0.0393	0.0229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Bipolaris	0.00655	0.0295	0.00327	0.0884	0.00982	0.00655	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0	0	0.0589	0.0262	0.00982	0.00655	0.0164	0	0	0	0	0.00327	0	0	0.0131	0	0	0.887	0	0.1
Tausonia	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.00655	0	0	0.0229	0	0	0.337	0	0	0.1
Ascobolus	0	0.0229	0	0.00327	0.0131	0.00327	0	0	0	0	0	0	0.00982	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0.0131	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Beauveria	0	0	0	0.0131	0	0	0.00327	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0.1
Fusicolla	0	0	0	0	0.0426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786	0	0.0491	0.00327	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0.1
Gamsia	0	0.00327	0	0	0	0	0	0	0	0.0131	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0	0	0.00655	0.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Glomus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.00327	0.00327	0.363	0.0164	0.0262	0.213	0.0131	0	0	0.1
